playerID,short_name,long_name,nationality,team_position
242816,Riqui Puig,Ricard Puig Martí,Spain,SUB
245388,J. Todibo,Jean-Clair Todibo,France,SUB
237156,M. Wagué,Moussa Wagué,Senegal,SUB
237823,H. Abe,安部 裕葵,Japan,RES
240683,L. Reis,Ludovit Reis,Netherlands,RES
239250,Abel Ruiz,Abel Ruiz Ortega,Spain,RES
239249,Oriol Busquets,Oriol Busquets Mas,Spain,RES
240654,Carles Pérez,Carles Pérez Sayol,Spain,RES
240915,Miranda,Juan Miranda González,Spain,RES
241810,Chumi,Juan Brandáriz Movilla,Spain,RES
242999,Álex Collado,Álex Collado Gutiérrez,Spain,RES
237522,Jorge Cuenca,Jorge Cuenca Barreno,Spain,RES
246139,Iñaki Peña,Ignacio Peña Sotorres,Spain,RES
244260,Dani Olmo,Daniel Olmo Carvajal,Spain,LCM
